name,description
008,Intestinal infection
008.5,Bacterial enteritis
008.51,Intestinal e.coli
008.52,Intestinal infection due to C. difficile
008.6,Viral Enteritis
008.7,Intestinal infection due to protozoa
010,Tuberculosis
031,Diseases due to other mycobacteria
038,Septicemia
038.1,Gram negative septicemia
038.2,Gram positive septicemia
038.3,Bacteremia
041,Bacterial infection NOS
041.1,Staphylococcus infections
041.11,Methicillin sensitive Staphylococcus aureus
041.12,Methicillin resistant Staphylococcus aureus
041.2,Streptococcus infection
041.21,Rheumatic fever / chorea
041.4,E. coli
041.8,H. pylori
041.9,Infection with drug-resistant microorganisms
053,Herpes zoster
053.1,Herpes zoster with nervous system complications
054,Herpes simplex
070,Viral hepatitis
070.1,Viral hepatitis A
070.2,Viral hepatitis B
070.3,Viral hepatitis C
070.4,Chronic hepatitis
070.9,Hepatitis NOS
071,Human immunodeficiency virus [HIV] disease
071.1,"HIV infection, symptomatic"
078,Viral warts & HPV
079,Viral infection
079.1,Varicella infection
079.2,Infectious mononucleosis
079.9,"Viremia, NOS"
080,Postoperative infection
081,Infection/inflammation of internal prosthetic device; implant; and graft
081.1,Graft-versus-host disease
081.11,Acute graft-versus-host disease
081.12,Chronic graft-versus-host disease
090,Sexually transmitted infections (not HIV or hepatitis)
090.2,Gonococcal infections
090.3,Venereal diseases due to Chlamydia trachomatis
110.1,Dermatophytosis
110.11,Dermatophytosis of nail
110.12,Althete's foot
110.13,Dermatophytosis of the body
110.2,Dermatomycoses
112,Candidiasis
112.3,Candidiasis of skin and nails
117,Mycoses
117.1,Histoplasmosis
117.4,Aspergillosis
130.1,Lyme disease
131,Protozoan infection
132,"Infestation (lice, mites)"
132.1,Pediculosis and phthirus infestation
133,Arthropod-borne diseases
134,Helminthiases
134.1,Intestinal helminthiases
136,Other infectious and parasitic diseases
145,Cancer of mouth
145.2,Cancer of tongue
145.3,Cancer of major salivary glands
145.5,Cancer of the mouth floor
149,"Cancer of larynx, pharynx, nasal cavities"
149.1,Cancer of oropharynx
149.2,Cancer of nasopharynx
149.3,Cancer of hypopharynx
149.4,Cancer of larynx
149.5,Hx of malignant neoplasm of oral cavity and pharynx
149.9,Cancer of of nasal cavities
150,Cancer of esophagus
151,Cancer of stomach
153,Colorectal cancer
153.2,Colon cancer
153.3,"Malignant neoplasm of rectum, rectosigmoid junction, and anus"
155,Cancer of liver and intrahepatic bile duct
155.1,"Malignant neoplasm of liver, primary"
157,Pancreatic cancer
158,Neoplasm of unspecified nature of digestive system
159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum
159.2,"Malignant neoplasm of small intestine, including duodenum"
159.3,Malignant neoplasm of gallbladder and extrahepatic bile ducts
159.4,Malignant neoplasm of retroperitoneum and peritoneum
164,Cancer of intrathoracic organs
165,Cancer within the respiratory system
